artist_name,song_count,avg_popularity
Oziriz,7354,0.0415
Vyacheslav Sketch,4496,0.0131
Dura,4411,0.0519
Nacim Ladj,4003,0.0257
21 ROOM,3810,0.0428
Techno Red,3670,0.0578
Jason Rivas,3544,0.0547
Techno Mama,3463,0.0488
Big Bunny,3437,0.0591
Q-Green,3425,0.0099
Various Artists,3392,3.52
Royal Music Paris,3104,0.0129
Mauro Rawn,3089,0.6847
Giuliano Rodrigues,3028,0.0578
Serenity Calls,2535,0.6256
Mark Holiday,2529,1.1621
Rousing House,2351,0.0128
Sergii Petrenko,2348,0.0183
Dionigi,2320,0.4444
Spiral Helix,2289,0.0
